CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
02.094.110/0001-95,Preview Servicos Ltda,,R Aibi,110,Conj: 21;,Vila Ipojuca,São Paulo,SP,05054-010,fatima@previewserv.com.br,(11) 3021-4500,Informática,Desenvolvimento de programas de computador sob encomenda,04/12/1996,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 300000,00",
00.992.288/0001-28,Centro Educacional Girassol S/s Ltda,Girassol- Centro Educacional Montessori,R Almirante Barroso,152,,Tobias,Joaçaba,SC,89600-000,contato@cegirassol.com.br,(49) 3522-3830,Educação,Educação infantil - pré-escola,09/01/1996,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 5000,00",
01.636.261/0001-65,Sg - Turismo e Representacoes Ltda,Ravena Turismo,Governador Flavio Ribeiro Coutinho,300,Edif Emp. Praia Shopping Loja 13,Bessa,Joao Pessoa,PB,58037-000,diretoria@ravenaturismo.com,(83) 3246-8223,Viagem e Turismo,Agências de viagens,30/01/1997,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 22000,00",
32.837.440/0001-94,Piedade Refrigeracao Eireli,Gp Refrigeracao & Climatizacao,Elisio Cordeiro de Siqueira,474,,Jardim Santo Elias,São Paulo,SP,05136-000,guilherme@gpclimatizacao.com,(11) 2594-1357,Atacado e Distribuição,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,20/02/2019,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
02.781.395/0001-32,Atocolor Industria e Comercio Ltda,,R Jade,541,,Recreio Camp. Joia,Indaiatuba,SP,13347-180,comercial@atocolor.com.br,(19) 3935-8146,Fábricas e Indústrias,Fabricação de artefatos de material plástico para usos industriais,18/09/1998,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 200000,00",
82.204.884/0001-60,Nora Ribeiro & Cia Ltda,,R Katisuji Nishiyama,888,,Parque da Gavea,Maringá,PR,87053-255,grafica@sthampa.com.br,,Serviços Empresariais,Atividades de cobranças e informações cadastrais,21/06/1990,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 150000,00",
10.610.849/0001-30,Dinamica Networks Ltda,Unilink Telecom,Av Joaquim Bueno Teles,1763,Quadra05 Lote 24,Setor Lucia Alice,Bela Vista de Goiás,GO,75240-000,contato@bikepromo.com.br,(62) 3551-2757,Telecomunicações,Serviços de comunicação multimídia - SCM,16/01/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 60000,00",
05.787.733/0001-31,Src Industria e Comercio de Material Para Polimento Ltda,,R Carlos Weber,1112,,Vila Leopoldina,São Paulo,SP,05303-000,vendas@box21online.com.br,(11) 3622-6206,Varejo,Comércio varejista de outros produtos ,17/07/2003,Micro empresa,Optante,Sociedade Empresária Limitada,,
23.705.657/0001-50,Ws Work Sistemas de Ti Ltda,Ws Work Sistemas,General Caldwell,1205,Apt 21,Menino Deus,Porto Alegre,RS,90130-051,isaias@wswork.com.br,(51) 98166-6222,Informática,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet",19/11/2015,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
10.222.053/0001-00,Expert Blenders Cafe Eireli,,R Jose Lucas,69,,Centro,Atibaia,SP,12940-700,contas@expertblenders.com.br,(11) 4411-4367,Alimentos e Bebidas,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios ,18/07/2008,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 79000,00",
19.651.561/0001-89,Lucape Siderurgia Eireli,,Ribeirao Alberto Dias,S/n,: Rod Br 040-km 691;,Zona Rural,Alfredo Vasconcelos,MG,36272-000,lucapesiderurgica@city10.com.br,(32) 3367-1213,Agronegócios,Atividades de apoio à produção florestal,14/11/1977,Empresa de pequeno porte,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 248150,00",
20.112.096/0001-97,Oliveira & Botacin Imobiliaria Ltda,Village Imobiliaria,29,879,,Cidade Jardim,Rio Claro,SP,13501-104,val@villageimobiliaria.com.br,(19) 3524-0328,Construção Civil,Corretagem no aluguel de imóveis,22/04/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
14.465.007/0001-93,Rp Protese Odontologica Ltda,Raphael Pina Protese Odontologica,Abrao Julio Rahe,1153,,Centro,Campo Grande,MS,79020-190,contato@raphaelpina.com.br,(67) 3213-4247,Medicina e Saúde,Serviços de prótese dentária,14/10/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 180000,00",
06.787.218/0001-14,Advance Design Ltda,Advance Design,Jose Avelino,480,"Salas 01, 02 e 03",Centro,Fortaleza,CE,60060-360,guilherme@advance.com.br,(85) 4006-2703,Informática,Desenvolvimento de programas de computador sob encomenda,26/07/2004,Demais,Optante,Sociedade Empresária Limitada,,
01.977.939/0001-73,Felipe Marcelo Xavier & Cia Ltda,Onlinelab,R Jeronimo Coelho,389,"Sala 35, 36, 45, 46",Centro,Florianópolis,SC,88010-030,atendimento@onlinelab.com.br,(48) 3224-1511,Medicina e Saúde,Laboratórios de anatomia patológica e citológica,10/07/1997,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
61.078.408/0001-70,Embalagens Paulicea Ltda,,R Jequitai,300,,Cidade Pque Brasilia,Guarulhos,SP,07243-000,vendas@embpauli.com.br,(11) 2484-4000,Fábricas e Indústrias,Fabricação de artefatos de tanoaria e de embalagens de madeira,25/07/1966,Demais,Não optante,Sociedade Empresária Limitada,"R$ 226000,00",11-50
08.775.889/0001-90,Coyado Consultoria em Informatica e Recursos Humanos Ltda.,,R Julio Xavier Junior,330,,Jacana,São Paulo,SP,02258-280,coyado@coyadoconsultoria.com.br,,Eletro-eletrônica,Consultoria em tecnologia da informação,16/04/2007,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
11.191.594/0001-81,Durafence Industria e Comercio de Gradis e Portoes Eireli,,Jose Alves de Azevedo,935,,Parque Rosario,Campos dos Goytacazes,RJ,28026-621,contato@durafence.com.br,(21) 98894-5076,Fábricas e Indústrias,"Fabricação de móveis de outros materiais, exceto madeira e metal",15/09/2009,Empresa de pequeno porte,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 93700,00",
02.933.883/0001-18,Centro Cultural Alpha-usp Ltda,,R Caminho do Engenho,354,,Butanta,São Paulo,SP,05524-000,solucao@tacti.com.br,(11) 4325-5463,Mídia e Entretenimento,Atividades de sonorização e de iluminação,15/12/1998,Micro empresa,Não optante,Sociedade Empresária Limitada,,
79.226.643/0001-08,Transportes Gerson Ltda,Kt Transportes,do Comercio,138,Sala 01,Centro,Peritiba,SC,89750-000,transportesgerson@concordia.psi.br,(49) 3453-1080,Transporte e Logística,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",19/12/1985,Demais,Não optante,Sociedade Empresária Limitada,"R$ 180000,00",
61.593.687/0001-00,Sindicato dos Despachantes Aduaneiros de Sao Paulo - Sindasp,Sindasp,Av Paulista,1337,22 And Cj 221/222,Cerqueira Cesar,São Paulo,SP,01311-200,paula@sindaspcg.org.br,(11) 3549-9832,Sem Fins Lucrativos,Atividades de organizações sindicais,18/08/1966,Demais,Não optante,Entidade Sindical,,
00.669.187/0001-10,Academia Via Esporte Ltda,Academia Via Esporte,R Miguel Melo,55,,Vila Prel,São Paulo,SP,05780-340,rafaele@viaesporte.com.br,(11) 5817-9000,Viagem e Turismo,Atividades de condicionamento físico,21/06/1995,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 6000,00",
21.818.874/0001-20,Rivello Aparts Administracao de Hoteis e Flats Ltda.,Rivello Aparts,R Paulo Frontin,1172,,Centro,Sete Lagoas,MG,35700-049,reservas@rivelloaparthotel.com.br,,Viagem e Turismo,Apart-hotéis,05/02/2015,Demais,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
08.378.057/0001-30,Jav Confeccoes e Artesanato Ltda,,Pc Sao Joao,110,,Trancoso,Porto Seguro,BA,45818-000,contato@joanavieira.com.br,(73) 3668-1110,Moda e Indústria Têxtil,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",04/10/2006,Demais,Excluído,Sociedade Empresária Limitada,"R$ 15000,00",3
10.315.449/0001-00,Ampaf - Amparo e Assistencia A Familia - Planos de Auxilio Funeral Ltda.,Prever Campos Eliseos,Padre Euclides,480,,Campos Eliseos,Ribeirão Preto,SP,14080-200,financeiro@familiaprever.com.br,(16) 3434-1000,Serviços ao Consumidor,Serviços de funerárias,17/07/2008,Demais,Não optante,Sociedade Empresária Limitada,"R$ 710000,00",
03.764.401/0001-06,Centro de Formacao de Condutores Nosso Ltda,Nosso Cfc,R Borges de Medeiros,578,,Centro,Caxias do Sul,RS,95020-310,cfcnosso@cfcnosso.com.br,(54) 3223-5666,Educação,Formação de condutores,12/04/2000,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 33000,00",
24.145.043/0001-23,Lucky Comercio de Artigos Para Festas Ltda,,Boliche,58,,Jardim Independencia,São Paulo,SP,03225-080,luckyfest@luckyfestembalagens.com.br,(11) 4486-6356,Papel,Comércio atacadista de embalagens,11/02/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 120000,00",
57.366.940/0001-16,Digital Comercio e Assistencia Tecnica de Balancas Ltda,,R Gomes,484,,Vila Diva,São Paulo,SP,03275-010,digital@digitalbalancas.com.br,(11) 2717-6774,Decoração,Comércio varejista de outros produtos ,27/04/1987,Micro empresa,Optante,Sociedade Empresária Limitada,,
01.626.141/0001-87,Henrique Rissardi Matos Eletronica,Caef Eletronics,R Lua Minguante,88,,Jardim do Luar (fazendinha),Santana de Parnaíba,SP,06529-010,contato@caefeletronics.com.br,(11) 4156-5474,Decoração,Comércio varejista de outros produtos ,31/12/1996,Micro empresa,Optante,Empresário Individual,,
06.973.862/0001-87,Porkao Industria e Comercio de Carnes e Embutidos Ltda,Porcao,Av Francisco Sampaio Peixoto,683,,Jd Sta Lucia,Araraquara,SP,14800-530,contato@porkao.com.br,(16) 3332-4774,Fábricas e Indústrias,Fabricação de produtos de carne,31/08/2004,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 25000,00",
35.486.142/0001-95,Husky Tecnologia Ltda,Husky,das Nacoes Unidas,12901,Bloco A Edif Norte Sala 12.103 X,Brooklin Paulista,São Paulo,SP,04578-910,friends@husky.io,(11) 2768-1389,Eletro-eletrônica,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",12/11/2019,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 500000,00",
04.100.034/0001-09,Panelaterapia Producoes Ltda,Panelaterapia Producoes,Francisco Silva,264,,Vila Lucy,Sorocaba,SP,18043-080,marcelo@panelaterapia.com,(15) 99643-9330,Mídia e Entretenimento,"Atividades de produção cinematográfica, de vídeos e de programas de televisão ",19/10/2000,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
04.265.645/0001-07,Aluguel Seguro Mogi Guacu Locacao de Equipamentos Ltda,Casa do Construtor,Carlos Braga de Faria,242,Lote: S/numero ;,Jardim Cruzeiro,Mogi-guacu,SP,13847-010,mogiguacu@casadoconstrutor.com.br,(19) 3891-8033,Serviços Empresariais,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",30/01/2001,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 150000,00",
17.953.395/0001-40,Jli Comercio Atacadista e Varejista Eireli,Comercial Jli,Maria Conceicao Valio,800,,Parque Residencial Campestre,Pilar do Sul,SP,18185-000,contato@comercialjli.com.br,(15) 3278-4405,Atacado e Distribuição,Comércio atacadista de ferragens e ferramentas,17/04/2013,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 93700,00",
26.908.370/0001-15,Supermercado e Atacado Taisho Ltda,Taisho Supermercado,Julio Domingos de Campos (lot Nucleo 'g' Gloria),4480,Lote 05 06 07 08 e 09,Gloria,Varzea Grande,MT,78141-000,contato@supertaisho.com.br,(65) 3688-7900,Alimentos e Bebidas,Comércio atacadista de produtos alimentícios em geral,18/01/2017,Demais,Não optante,Sociedade Empresária Limitada,"R$ 100000,00",
03.348.064/0001-76,Seculus Seguranca e Vigilancia Ltda,,R Guilherme Marchini,113,Center Ville,Centro,Arujá,SP,07400-000,grulke@seculusbrasil.com.br,,Serviços Empresariais,Atividades de vigilância e segurança privada,12/08/1999,Demais,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 336690,00",
14.922.451/0001-90,Lutop Industria Metalurgica Ltda,Scudo Concertina,R Sao Joao,1111,,Industrial,São Marcos,RS,95190-000,contato@scudoconcertina.com.br,(54) 3291-1253,Fábricas e Indústrias,"Fabricação de produtos de trefilados de metal, exceto padronizados",20/01/2012,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 40000,00",
07.029.586/0001-66,F6 Sistemas de Informatica Ltda,4yousee,R Contendas,255,Conj: 2;,Alto Barroca,Belo Horizonte,MG,30431-012,contato@4yousee.com.br,(31) 3785-1118,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,14/10/2004,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
11.624.775/0001-54,Coobo Consultoria e Solucoes Tecnologicas Ltda,Coobo,R Lauro Muller,116,Sala 804,Botafogo,Rio de Janeiro,RJ,22290-160,comercial@savingmais.com.br,,Serviços Empresariais,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",03/02/2010,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1692448,00",1-10
01.456.620/0001-00,Alfer Prestadora de Servicos Ltda,,R Antonio Alves,16-29,,Centro,Bauru,SP,17015-331,vanessa@alfer.com.br,(14) 3234-8847,Construção Civil,Limpeza em prédios e em domicílios,17/09/1996,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 680000,00",
09.101.283/0001-32,Scallet Choperia de Salto Ltda,Restaurante e Pizzaria Scallet,R Quintino Bocaiuva,291,,Centro,Salto,SP,13320-110,adm@scallet.com.br,,Varejo,Restaurantes e similares,16/08/2007,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
10.953.291/0001-96,Italian Uniformes Profissionais Ltda,Italian Uniformes,R Li Senador Alberto Pasqualini,1481,,Mariland,Caxias do Sul,RS,95057-580,italian@italian.com.br,(54) 3229-5510,Fábricas e Indústrias,"Confecção de roupas profissionais, exceto sob medida",09/07/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
34.959.830/0001-62,Elite Telefonia Ltda,Elite Telefonia,Sete de Setembro,01,,Centro,Vitoria da Conquista,BA,45000-540,aroldo@alotelefonia.com,(73) 99103-0000,Telecomunicações,Comércio varejista especializado de equipamentos de telefonia e comunicação,23/09/2019,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
05.622.270/0001-58,Cave Colinas de Pedra Ltda,,R Antonio Brudeck,100,Cxpst 77,Roca Nova,Piraquara,PR,83301-970,contato@cavecolinasdepedra.com.br,,Alimentos e Bebidas,Fabricação de vinho,15/04/2003,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 26730,00",
06.317.057/0001-03,Titan Comercial e Industrial Textil Ltda - em Recuperacao Judicial,,R da Juta (lot Ind Pref Abdo Najar),361,337,Salto Grande,Americana,SP,13474-772,contato@titantextil.com.br,,Fábricas e Indústrias,Tecelagem de fios de fibras artificiais e sintéticas,03/06/2004,Demais,Não optante,Sociedade Empresária Limitada,"R$ 200000,00",
69.103.752/0001-84,Miranda & Associados Contabilidade Ltda,,Urandi,80,,Jardim das Laranjeiras,São Paulo,SP,02517-040,eliezer@mirandaassociados.com.br,(11) 4508-0070,Serviços Empresariais,Atividades de contabilidade,11/05/1993,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
03.747.807/0001-80,Sociedade Educacional Pitagoras,,R Goncalves Chaves,757,,Centro,Pelotas,RS,96015-560,pelotas@portalteorema.com.br,(53) 3025-5544,Educação,Outras atividades de ensino ,07/04/2000,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
10.394.949/0001-77,T S L Comercio e Servicos em Eletricidade Ltda,,R Manoel Cremonesi (jd Belita),111,,Alves Dias,São Bernardo do Campo,SP,09851-330,anaritatsl@tsleletrica.com.br,(11) 4067-1660,Construção Civil,Instalação e manutenção elétrica,26/09/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
20.977.902/0001-90,Americanvek Protecao Industrial Ltda,,R Humberto de Queiros,120,,Jardim Belgica,São Paulo,SP,04672-010,lilian@americanvek.com.br,,Atacado e Distribuição,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,04/09/2014,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
19.130.844/0001-85,Ibiotech Pesquisa e Desenvolvimento Ltda - Me,Ibiotech,Av Professor Lineu Prestes,2242,Citec/ipen Sala 231,Butanta,São Paulo,SP,05508-000,ely.jr@equiptech.com.br,,Serviços Empresariais,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,24/10/2013,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
32.207.934/0001-95,Blackbox Studio Pub Bar Eireli,Blackbox Studio Pub,Leitao da Silva,1379,Loja 5 Loja 6,Gurigica,Vitoria,ES,29046-005,administrativo@blackbox.art.br,(27) 99723-0015,Serviços Empresariais,Casas de festas e eventos,07/12/2018,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 98000,00",
34.549.596/0001-03,Janet Company Importacao e Exportacao Ltda,Zhang Hair,da Misericordia,23,Andar 6,Centro,São Paulo,SP,01012-020,financeiro@janetcompany.com.br,(11) 3121-5508,Medicina e Saúde,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",15/08/2019,Demais,Não optante,Sociedade Empresária Limitada,"R$ 500000,00",
91.983.726/0001-47,Pasqualotto Corretora de Seguros Ltda,,R Irmao Jose Sion,19,Sala 102,Centro,Garibaldi,RS,95720-000,pasqualotto@pasqualotto.com.br,,Serviços Financeiros,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",26/09/1988,Demais,Optante,Sociedade Simples Limitada,,
11.266.069/0001-88,Obranchini Consultoria em Engenharia de Processos e Treinamentos Ltda,Obranchini Engenharia de Processos e Treinamento,Av Isaura Maria Conceicao Macedo,606,,Parque Nova Cunha,Cunha,SP,12530-000,oziel@obranchini.com.br,(11) 97159-5944,Serviços Empresariais,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",15/10/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",1-10
07.317.961/0001-73,Sergio Buss Imagem e Som Ltda,Lembrancas de Um Dia Bom,Deputado Nilson Ribas,350,Casa 10,Campina do Siqueira,Curitiba,PR,80740-510,financeiro@sergiobuss.com,(41) 3322-3223,Mídia e Entretenimento,Atividades de gravação de som e de edição de música,06/04/2005,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
03.879.979/0001-08,Cleanwave Engineering Ltda,Cleanwave,R Schilling,413,Conjunto 1306,Vila Leopoldina,São Paulo,SP,05302-001,cleanwave@cleanwave.com.br,(11) 3644-9299,Engenharia,Serviços de engenharia,11/05/2000,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
08.690.191/0001-72,Carlos Camarota Advogados Associados,,"R 01, Esquina Com A Rua 14",999,"Qd A-7, Lt 3-14",Setor Oeste,Goiânia,GO,74115-040,contato@carloscamarota.com.br,(62) 3092-5548,Serviços Empresariais,Serviços advocatícios,16/02/2007,Demais,Optante,Sociedade Simples Pura,"R$ 5000,00",
18.739.370/0001-00,Continente Escritorio Virtual Ltda,Continente Business Office,Av Josue Di Bernardi,185,,Campinas,São José,SC,88101-200,contato@cboffice.com.br,(48) 3015-7928,Serviços Empresariais,Serviços combinados de escritório e apoio administrativo,22/08/2013,Micro empresa,Optante,Empresário Individual,"R$ 10000,00",
04.154.166/0001-13,Costa & Vieira Mudancas e Transporte Ltda,,R Irma Maria Francisca Paolino,311,,Sitio Cercado,Curitiba,PR,81910-250,mudvieira@mudancasvieira.com.br,(41) 3378-8867,Transporte e Logística,Transporte rodoviário de mudanças,21/11/2000,Micro empresa,Não optante,Sociedade Empresária Limitada,,
01.895.314/0001-62,Coleta Industrial Fimavan Ltda,Van Lix,R Colonia Leopoldina,270,,Cidade Industrial Satelite de Sao Paulo,Guarulhos,SP,07220-040,elizabeth@vanlix.com.br,(11) 2413-1850,Energia,Coleta de resíduos não-perigosos,12/06/1997,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1600000,00",
04.895.605/0001-49,Posto Peixinho de Piratininga Ltda,,Nair Carvalho Timachi,02,,Centro,Piratininga,SP,17490-001,contabilidade@redepeixinho.com.br,(14) 3206-2096,Varejo,Comércio varejista de combustíveis para veículos automotores,08/02/2002,Demais,Não optante,Sociedade Empresária Limitada,"R$ 200000,00",
04.940.977/0001-40,Wechsel Ltda,Wechsel,R Doutor Fonseca Brasil,207,Lote 1,Vila Andrade,São Paulo,SP,05716-060,thiago.silva@wechsel.com.br,(11) 5678-4848,Construção Civil,Outras obras de acabamento da construção,01/03/2002,Demais,Não optante,Sociedade Empresária Limitada,"R$ 10000000,00",150
12.085.471/0001-29,Santo Ivo Servicos Ltda,,R Industrial,504,,Santa Maria,Contagem,MG,32240-180,vinicius@ciasantoivo.com.br,(31) 3361-7822,Serviços Empresariais,Atividades de contabilidade,15/06/2010,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
70.220.801/0001-48,Drogamedica Heliopolis Ltda,Drogamedica,Av Santa Rosa,689,699,Heliopolis,Garanhuns,PE,55296-310,atendimento@drogamedica.com.br,,Máquinas e Equipamentos,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",18/11/1993,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 500000,00",
