CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
04.896.540/0001-56,Tudob2b Consultoria Ltda,,Quatro de Fevereiro,375,Sala 06,Itoupava Norte,Blumenau,SC,89052-500,contato@tudob2b.com,(48) 4042-0862,Serviços Empresariais,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",15/02/2002,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 40000,00",
01.921.473/0001-94,Ualter Regis Barbosa,,Av Santa Leopoldina,1031,C.c.itaparica Lj C-1,Coq.de Itaparica,Vila Velha,ES,29102-040,comercial@artsystem.com.br,(27) 3349-2269,Varejo,Comércio varejista de equipamentos para escritório,02/06/1997,Micro empresa,Optante,Empresário Individual,,
13.764.401/0001-60,Libra Imoveis e Negocios Ltda.,Libra Imoveis e Negocios Ltda.,R Octaviano Gozzano,325,Andar Terreo Sala 1,Parque Campolim,Sorocaba,SP,18048-100,contato@libra.imb.br,(15) 3331-5454,Imobiliárias,Corretagem na compra e venda e avaliação de imóveis,26/05/2011,Demais,Não optante,Sociedade Empresária Limitada,"R$ 50000,00",
15.784.768/0001-70,Lcd Apoio Administrativo Ltda,,R Rouxinol,618,,Jardim Olimpico,Maringá,PR,87070-350,societario@audcontcontabilidade.com.br,(44) 3024-4433,Serviços Empresariais,Serviços combinados de escritório e apoio administrativo,21/05/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 9000,00",
12.612.760/0001-39,Gp Industria e Comercio de Esquadrias de Aluminio Eireli,Gp Aluminio,Luar do Sertao,434,,Chacara Santa Maria,São Paulo,SP,05879-450,wagner@gpaluminio.com.br,(11) 5833-3998,Fábricas e Indústrias,Fabricação de esquadrias de metal,23/09/2010,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
35.940.961/0001-60,Fortaleza Sul Comercio de Acessorios Para Celular Ltda,Playcases,Washington Soares,4335,Quiosque Qt02 - Piso Terreo,Sapiranga-coite,Fortaleza,CE,60833-005,pc4@playcases.com.br,(85) 3264-6395,Telecomunicações,Comércio varejista especializado de equipamentos de telefonia e comunicação,09/01/2020,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
27.678.144/0001-58,Fzr Engenharia e Projetos Industriais Ltda,,R Coronel Francisco Amaro,423,Sala 1,Centro,Santo André,SP,09020-250,contato@fzreng.com.br,(11) 96362-0947,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,08/05/2017,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 30000,00",
02.084.459/0001-46,Usina de Reciclagem de Fortaleza Ltda,Usifort,Rod Br 020 Km 02,S/N,Quadra102,Parque Potira,Caucaia,CE,61648-400,usifort@usifort.com.br,,Energia,Recuperação de materiais ,08/09/1997,Micro empresa,Optante,Sociedade Empresária Limitada,,
08.840.315/0001-59,Mardil Distribuidora de Frutas Ltda,,Av Brasil,19001,Pavlh 23 Boxes 29 e 31,Iraja,Rio de Janeiro,RJ,21530-000,contato@redevarejaohortifruti.com.br,(21) 2473-8619,Atacado e Distribuição,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",18/05/2007,Demais,Excluído,Sociedade Empresária Limitada,"R$ 30000,00",
26.055.033/0001-22,Zalure Comercio de Roupas e Acessorios Ltda,Zalure Store,General Potiguara,2500,Loja 03,Fazendinha,Curitiba,PR,81330-320,contato@zalure.com.br,(41) 3576-1122,Varejo,Comércio varejista de artigos do vestuário e acessórios,15/08/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 4000,00",
05.474.475/0001-33,Wise Contabilidade e Auditoria Ltda S/s,,St Shcgn Cr 710/711 Bloco G Loja 21,S/N,,Asa Norte,Brasília,DF,70750-670,comercial@wisecontabilidade.com.br,,Contabilidade,Atividades de contabilidade,17/01/2003,Empresa de pequeno porte,Excluído,Sociedade Simples Limitada,"R$ 60000,00",
59.025.437/0001-22,Must Eventos e Desenvolvimento Ltda,Must Marketing,R Dr Odon Carlos de Figueiredo Ferraz,507,,Parque Sao Domingos,São Paulo,SP,05121-000,contato@mustmarketing.com.br,(11) 3643-1433,Serviços Empresariais,"Serviços de organização de feiras, congressos, exposições e festas",03/04/1991,Demais,Não optante,Sociedade Empresária Limitada,"R$ 5520000,00",
85.276.889/0001-97,Adantex Industria e Comercio de Estopas Ltda,,Luiz Adami,261,,Arraial dos Cunhas,Itajai,SC,88318-135,vendas@adantex.com.br,(47) 99200-0791,Fábricas e Indústrias,Fabricação de outros produtos têxteis ,02/04/1992,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
13.026.230/0001-71,Jaguar Seguranca e Energia Ltda,Jaguar Seguranca e Energia,R N,69,Conj: Lafayete Coutinho;,Rosa Elze,São Cristóvão,SE,49100-000,contato@inputht.com.br,,Serviços Empresariais,Atividades de monitoramento de sistemas de segurança eletrônico,14/12/2010,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 925000,00",
10.641.426/0001-88,Marreh Calcados Ltda,,Presidente Getulio Vargas,3309,,Agua Verde,Curitiba,PR,80240-041,financeiro@marreh.com.br,(41) 3029-3558,Varejo,Comércio varejista de artigos do vestuário e acessórios,11/02/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 15000,00",
02.203.957/0001-60,Emes Consultoria Ambiental Ltda,Contecma,Est do Quitungo,1073,,Braz de Pina,Rio de Janeiro,RJ,21215-562,soscontecma@soscontecma.com.br,(21) 2485-9495,Serviços Empresariais,"Outras atividades profissionais, científicas e técnicas ",10/10/1997,Empresa de pequeno porte,Optante,Sociedade Simples Limitada,,50
08.736.492/0001-90,Bellian Assessoria Aduaneira e Servicos Ltda,Bellian Comissaria de Despacho,R Padre Anchieta,260,A,Macuco,Santos,SP,11015-120,bellian@bellian.com.br,(13) 3219-2936,Transporte e Logística,Atividades de despachantes aduaneiros,23/03/2007,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 5000,00",
60.131.885/0001-90,Educadora Joseense S/s Ltda,Colegio Nova Geracao,R Massaguacu,390,,Jardim Satelite,São José dos Campos,SP,12230-650,contato@colegiongeracao.com.br,(12) 3937-7373,Educação,Ensino médio,19/10/1989,Empresa de pequeno porte,Optante,Sociedade Simples Limitada,"R$ 5000,00",
01.387.961/0001-63,Delmaq Maquinas e Equipamentos Graficos Eireli,,Av Pastor Martin Luther King Jr,4071,,Tomas Coelho,Rio de Janeiro,RJ,20761-121,delmaqrj@delmaqrj.com.br,(21) 2593-3264,Atacado e Distribuição,Comércio atacadista de artigos de escritório e de papelaria,20/08/1996,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 200000,00",
04.449.360/0001-26,Renato Peghim Empreendimentos Imobiliarios S/s Ltda,Organizacao Renato Peghim,R 16,237,,Centro,Barretos,SP,14780-050,contabilidade@imobiliariarenatopeghim.com.br,,Imobiliárias,Corretagem no aluguel de imóveis,15/05/2001,Empresa de pequeno porte,Não optante,Sociedade Simples Limitada,"R$ 10000,00",
05.164.972/0001-35,Fase Industria e Comercio Ltda,Fase,Av Marechal Castelo Branco,270,,Wilson Guimaraes Soares,Teixeira de Freitas,BA,45987-000,mkt@fasesport.com.br,(73) 3263-9900,Fábricas e Indústrias,"Confecção de roupas profissionais, exceto sob medida",24/07/2002,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 120000,00",34
27.611.366/0001-53,Franco e Rangel Imoveis Ltda,Franco e Rangel Imoveis,Paulo Freitas,15,,Centro,Sao Joao Del Rei,MG,36301-004,vendas@francoerangelimoveis.com.br,(32) 3518-1998,Imobiliárias,Corretagem na compra e venda e avaliação de imóveis,27/04/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
15.565.974/0001-90,Psl Tratamento e Polimento de Pisos Eireli,P.s.l.sistemas de Tratamento e Higienizacao de Pisos,R Miguel Ascoleze,241,,Vila Nova,Porto Alegre,RS,91740-470,priscila@pslpisos.com.br,,Construção Civil,Limpeza em prédios e em domicílios,16/04/2012,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
17.798.608/0001-06,Tec Seguranca Eletronica Eireli,Tec Seguranca Eletronica,Rui Barbosa,214,,de Fatima,Serra,ES,29160-750,coordenacao.financeira@tecseguranca.com,(27) 3213-1016,Serviços Empresariais,Atividades de monitoramento de sistemas de segurança eletrônico,20/03/2013,Empresa de pequeno porte,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
05.537.004/0001-27,Vitoria Goosen Singer Eireli,Restaurante Dona Tiba,"Br 476, Km 158",10503,,Bela Vista,Araucaria,PR,83700-970,restaurante4@postotiozico.com.br,(41) 3625-2319,Alimentos e Bebidas,Restaurantes e similares,25/02/2003,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 120000,00",
05.521.754/0001-00,Transportadora Jire Ltda,Transjire,Prefeito Alberto Moura,5.857,,Morro do Claro,Sete Lagoas,MG,35701-970,transjire@transjire.com.br,(31) 3776-4961,Transporte e Logística,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",19/02/2003,Demais,Excluído,Sociedade Empresária Limitada,"R$ 50000,00",
26.181.265/0001-27,Dusty Rusty Comercio e Servicos Ltda,Dusty Rusty,Av Tambore,855,,Tambore,Baruerí,SP,06460-000,contato@dustyrusty.com.br,(11) 2321-0477,Alimentos e Bebidas,Restaurantes e similares,16/09/2016,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 200000,00",
72.484.025/0001-19,Fenix Metal Mecanica Ltda,Fenix Metal Mecanica,Av Rio Maina,800,Distrito Industrial,Rio Maina,Criciúma,SC,88806-390,fenix@fenixmetal.com.br,(48) 3438-0800,Química,"Fabricação de máquinas e equipamentos para uso industrial específico , peças e acessórios",26/07/1993,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,
26.201.868/0001-43,Instalo Solar Ltda,,Vinte e Quatro de Maio,2972,,Parolin,Curitiba,PR,80220-061,silvina@instalo.com.br,(41) 3333-6262,Construção Civil,Serviços de engenharia,12/08/2016,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
05.145.683/0001-99,Multipla Contabilidade Empresarial S/s Ltda,,R Floriano Peixoto,1725,,Bairro Alto,Piracicaba,SP,13419-170,legaliza@contabilmultipla.com.br,(19) 3433-5330,Serviços Empresariais,Atividades de contabilidade,01/07/2002,Micro empresa,Optante,Sociedade Simples Limitada,,
11.234.245/0001-08,Dama Comercio de Alimentos e Promocoes Ltda,Dama,Ferreira de Araujo,376,,Pinheiros,São Paulo,SP,05428-000,marianagorski@confeitariadama.com.br,(11) 3182-5088,Varejo,"Lanchonetes, casas de chá, de sucos e similares",23/09/2009,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 50000,00",
27.566.599/0001-81,Ctec Ensaios e Controle Tecnologico - Eireli,Ctec Consultoria,Capitao Nestor Boechat Junior,Sn,,Ourania - 2? Distrito,Natividade,RJ,28383-000,pablo.gonzales@ctecconsultoria.com.br,(21) 98165-6140,Construção Civil,Serviços de engenharia,19/04/2017,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 93700,00",
05.924.170/0001-86,Sociedade de Cultura Radio Parecis Ltda,Radio Parecis,Av Rio Madeira,2964,,Flodoaldo Pontes Pinto,Porto Velho,RO,76820-408,eltonleoni@radioparecis.com.br,,Mídia e Entretenimento,Atividades de rádio,01/07/1975,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,
07.508.562/0001-90,de Chaves Distribuidora Ltda,de Chaves,R General Joao Manoel,217,Sobre Loja,Centro,Porto Alegre,RS,90010-030,vendas@dechaves.com.br,(51) 3061-1753,Atacado e Distribuição,Comércio atacadista especializado em outros produtos intermediários ,12/07/2005,Micro empresa,Optante,Sociedade Empresária Limitada,,
04.115.055/0001-06,Jose Eduardo de Almeida Silva Eireli,Studio Vip Imoveis,Governador Osman Loureiro,3506,Edif Premium Office Sala 222,Mangabeiras,Maceio,AL,57037-630,eduardo@vip10.com.br,(82) 98802-0808,Imobiliárias,Corretagem na compra e venda e avaliação de imóveis,11/10/2000,Demais,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 96000,00",
21.456.509/0001-13,Shareprime Tecnologia Ltda,,Cancio Gomes,609,,Floresta,Porto Alegre,RS,90220-060,joao.almeida@shareprime.com.br,(51) 98250-0044,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/11/2014,Demais,Excluído,Sociedade Empresária Limitada,"R$ 25000,00",
07.344.594/0001-05,Argofruta Comercial Exportadora Ltda,Argofruta,Lote 615,S/n,Nucleo 02 Pisnc,Zona Rural,Petrolina,PE,56334-899,daniel@argofruta.com,(87) 3863-4975,Agronegócios,Cultivo de manga,20/04/2005,Demais,Não optante,Sociedade Empresária Limitada,"R$ 6835000,00",
33.793.431/0001-01,Canal America Corretora de Seguros Ltda,Unidas Corretora de Seguros,R Ebano Pereira,60,Andar 20 Conj. 2001/2002 2003/2004,Centro,Curitiba,PR,80410-240,suporte@canalamerica.com.br,,Serviços Financeiros,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",13/11/1989,Micro empresa,Optante,Sociedade Empresária Limitada,,
10.770.206/0001-54,Sapri - Servicos Administrativos Ltda,Sapri - Servicos Administrativos,Helena,280,Conj: 410; Conj: 411;,Vila Olimpia,São Paulo,SP,04552-050,claudio.lasso@sapri.com.br,(11) 3045-4713,Serviços Empresariais,Preparação de documentos e serviços especializados de apoio administrativo ,07/04/2009,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 1000,00",
15.567.441/0001-47,Genesis Hospitalar Ltda,Genesis Hospitalar,R Vista Alegre,646,,Santa Efigenia,Belo Horizonte,MG,30270-180,julio@genesishospitalar.com.br,(31) 3054-8670,Medicina e Saúde,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",21/05/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
14.424.652/0001-68,Ilansa Emporio Comercio de Bebidas Ltda,Emporio Bendicta,R Ilansa,130 D,,Alto da Mooca,São Paulo,SP,03127-070,contato@bendicta.com.br,,Atacado e Distribuição,"Comércio atacadista de cerveja, chope e refrigerante",24/05/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 300000,00",
22.554.094/0001-83,T M A Goncalves Industria e Comercio de Confeccao Eireli,Docecravo,R Sao Mateus,852,Apt: 503 A;,Iputinga,Recife,PE,50680-000,contato@docecravo.com.br,,Moda e Indústria Têxtil,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",29/05/2015,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 93700,00",
14.347.211/0001-00,Candy Toy - Industria e Comercio de Alimentos e Plasticos Ltda,D-10,R Dona Rima Simao,418,,Centro,Duartina,SP,17470-000,vendas@candytoy.com.br,(14) 3282-1059,Fábricas e Indústrias,"Fabricação de frutas cristalizadas, balas e semelhantes",13/09/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 55000,00",
17.793.772/0001-20,Universo Jatoba Prestacao de Servicos Ltda,,das Avencas,60,,Cidade Jardim,São Paulo,SP,05674-020,rosana@universojatoba.com.br,(11) 3044-3333,Informática,Agências de notícias,21/03/2013,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
14.296.116/0001-24,R.t. Suprimentos Para Escritorio Ltda,Cia Colors R.t.,das Rosas,133,,Alphaville,Barueri,SP,06453-029,sac@ciacolors.com.br,(11) 4208-5594,Máquinas e Equipamentos,Comércio varejista especializado de equipamentos e suprimentos de informática,20/07/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 60000,00",
13.899.662/0001-97,Gontec - Construcoes Eireli,,Jose de Carvalho,183,Andar 1,Chacara Santo Antonio (zona Sul),São Paulo,SP,04714-020,administrativo@gontec.eng.br,(11) 99999-9999,Construção Civil,Outras obras de acabamento da construção,17/06/2011,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
71.796.544/0001-50,Unimed de Jales - Cooperativa de Trabalho Medico Ltda.,,Av Francisco Jales,3707,,Vila Maria,Jales,SP,15706-396,unimedjales@unimedjales.com.br,(17) 3632-8069,Medicina e Saúde,Planos de saúde,02/07/1993,Demais,Não optante,Cooperativa,,
04.185.439/0001-97,Abi Cursos Ltda,Abi,R Taubate,753,,Utinga,Santo André,SP,09230-310,marcelo@vieiradecarvalhoimoveis.com.br,(11) 4436-0400,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,06/12/2000,Demais,Excluído,Sociedade Simples Limitada,,
00.347.659/0001-19,Asv Consultores Associados Ltda,,R Felipe Schmidt,172,Sala 905 e 906,Sao Luiz,Brusque,SC,88351-000,betania@asv.com.br,(47) 3351-3901,Informática,Desenvolvimento de programas de computador sob encomenda,12/12/1994,Demais,Não optante,Sociedade Empresária Limitada,"R$ 130360,00",
89.288.666/0001-09,Alpes Transportes Ltda,,"Rod Rs 122, Km 97,50",250,Sala 03,Travessao Aquidaban,Flores da Cunha,RS,95270-000,alpes@alpestransportes.com.br,(54) 3292-3707,Transporte e Logística,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",28/02/1978,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1500000,00",
50.157.882/0001-71,Lajes Tamoyo Ltda,,Av Republica,7500,Predio,Distr Industrial Iii,Marília,SP,17509-031,contato@lajestamoyo.com.br,(18) 3623-3209,Materiais de Construção,Fabricação de artefatos de cimento para uso na construção,10/05/1982,Demais,Não optante,Sociedade Empresária Limitada,"R$ 60000,00",
05.764.827/0001-95,Hydra Company Industria e Comercio de Equipamentos Hidraulicos Ltda,Hydra Company,R Conselheiro Travassos,640,,Sao Geraldo,Porto Alegre,RS,90230-140,comercial@hydracompany.com.br,,Decoração,Comércio varejista de outros produtos ,10/07/2003,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 300000,00",
33.667.401/0001-59,Auto Posto Satelite Ii Ltda,,Bento Guelfi,160,,Jardim Alto Alegre (sao Rafael),São Paulo,SP,08381-750,rafael@postosatelite.com.br,(11) 2796-2435,Varejo,Comércio varejista de combustíveis para veículos automotores,20/05/2019,Demais,Não optante,Sociedade Empresária Limitada,"R$ 300000,00",
04.205.581/0001-59,Alianca Traducoes e Comunicacoes Ltda,Alianca Traducoes,R Pereira Estefano,114,Sala 809 e 810,Vila da Saude,São Paulo,SP,04144-070,cristina@aliancatraducoes.com.br,,Serviços Empresariais,"Serviços de tradução, interpretação e similares",04/12/2000,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 5000,00",
50.929.884/0001-31,Cafe Caicara Ltda,,R Cica,452,,Vila Angelica,Jundiaí,SP,13206-765,vendas@cafesaojoaquim.com.br,(11) 4588-3600,Fábricas e Indústrias,Torrefação e moagem de café,29/11/1972,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1000000,00",
01.697.209/0001-19,Representacoes Am Dalmoro Ltda,,Paulo J. Schlabitz,521,,Montanha,Lajeado,RS,95900-010,dalmoro@certelnet.com.br,(51) 3714-4086,Varejo,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",01/02/1997,Micro empresa,Não optante,Sociedade Empresária Limitada,,
30.513.153/0001-01,Ldi-en Lavanderia Ltda,Lav Ilha,Joao Batista dos Santos,162,B,Bexiga,Ilhabela,SP,11630-000,hoteldailha@hoteldailha.net,(12) 3894-9150,Serviços ao Consumidor,Lavanderias,21/05/2018,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 88000,00",
28.941.642/0001-04,Jornada Representacoes Ltda,,Magalhaes Calvet,69,,Sarandi,Porto Alegre,RS,91110-140,mauricio@jornadarepres.com.br,(51) 98155-7971,Varejo,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,26/10/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 2000,00",
05.819.655/0001-00,Abrafi Assessoria Brasileira Para Assuntos Fiscais Ltda,Abrafi Assessoria Brasileira Para Assuntos Fiscais,Dr. Muricy,650,Conj 72,Centro,Curitiba,PR,80020-040,abrafi@abrafi.com.br,(41) 3323-4200,Mídia e Entretenimento,Edição de revistas,15/08/2003,Micro empresa,Optante,Sociedade Empresária Limitada,,
11.423.835/0001-70,Gomipp Terraplenagem Ltda,Escav Terraplenagem,Av Guerino Grisotti,2000,,Bairro do Engenho,Itatiba,SP,13255-130,contato@escav.com.br,(11) 4524-6076,Construção Civil,Obras de terraplenagem,04/12/2009,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 200000,00",
08.583.553/0001-26,S N Pedroso,P W A Informatica,Rod Br 316 Km 466 Vila-nassau,S/N,,Zona Rural,Codó,MA,65400-000,edmilsonmartins@pwainformatica.com.br,(99) 3661-5150,Varejo,Comércio varejista especializado de equipamentos e suprimentos de informática,09/01/2007,Micro empresa,Optante,Empresário Individual,"R$ 5000,00",
19.355.412/0001-72,Focus Contabilidade de Supermercado Eireli,Focus Contabilidade de Supermercados,Quinze de Novembro,90,Sala 701 A 714 808 e 809,Centro,Niterói,RJ,24020-125,legal@focuscontabil.com,(21) 3856-4273,Serviços Empresariais,Atividades de contabilidade,02/12/2013,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 150000,00",
05.976.464/0001-51,Anderson Blanco Dardin,,R Engenheiro Cajado de Lemos,10,,Ceramica,São Caetano do Sul,SP,09530-320,dblanco@dblanco.com.br,(11) 2355-3779,Eletro-eletrônica,Reparação e manutenção de computadores e de equipamentos periféricos,30/09/2003,Micro empresa,Optante,Empresário Individual,,
23.562.812/0001-26,Fortaleza Cartorio do Reg.civil de Antonio Bezerra,Cartorio Alencar Araripe,Av Mister Hull,4965,,Antonio Bezerra,Fortaleza,CE,60356-001,anoregce@anoregce.org.br,(85) 3038-9493,Cartórios,Cartórios,03/04/1989,Demais,Não optante,Serviço Notarial e Registral (Cartório),,
68.929.215/0001-25,Hdi Comercio e Servicos de Informatica Ltda,,R Joaquim Moreira Dias,120,,Jardim Avelino,São Paulo,SP,03226-050,contactomex@grupohdi.com,,Eletro-eletrônica,Consultoria em tecnologia da informação,14/10/1992,Demais,Não optante,Sociedade Empresária Limitada,"R$ 400000,00",51-200
20.001.643/0001-67,"Lc&rq - Construcao, Manutencao e Assessoria de Obras e Projetos Ltda",,R Dias da Cruz,808,Apt 501 - Parte.,Meier,Rio de Janeiro,RJ,20720-013,contato@lcerq.com.br,,Engenharia,Serviços de engenharia,01/04/2014,Demais,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
03.800.317/0001-09,Cointer Material Medico Hospitalar Ltda,,R Tupy,1723,,Nova Brasilia,Joinville,SC,89214-505,atendimento@cointer.com.br,(47) 3433-2065,Medicina e Saúde,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",10/05/2000,Demais,Não optante,Sociedade Empresária Limitada,"R$ 40000,00",
37.330.125/0001-90,Planem Engenharia e Eletricidade Ltda Scp,Planem Scp Prevent Senior Pedroso,Lacedemonia,225,Lote 06 Quadrant,Jardim Brasil (zona Sul),São Paulo,SP,04634-020,manzieri@planem.com.br,(11) 5186-5555,Construção Civil,Instalação e manutenção elétrica,01/04/2020,Demais,Não optante,Sociedade em Conta de Participação,"R$ 1000,00",
