CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
25.186.978/0001-10,Direct Selling Dreams Ltda,Super Revendedores,Botafogo,00440,Sal 2201,Botafogo,Rio de Janeiro,RJ,22250-908,felipe@superrevendedores.com.br,(22) 99962-2586,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,06/07/2016,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 217295,00",
10.964.701/0001-02,Helppo Tecnologia Ltda,Helppo Tecnologia,Av Patricio Lima,570,Sala 102,Humaita,Tubarão,SC,88704-410,moacir.nunes@helppo.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,15/07/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
32.061.075/0001-79,Cont4 - Desenvolvimento de Sistemas Ltda,Cont4,Rocco Aloise,8,Sala 707 Andar 6,Sarandi,Porto Alegre,RS,91110-390,contato@cont4.com.br,(51) 3737-8665,Informática,Desenvolvimento de programas de computador sob encomenda,21/11/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
00.685.830/0001-08,Projetiva Engenharia Eletrica Ltda,,R Flores Filho,260,5 Andar - Sala 51,Centro,Blumenau,SC,89010-140,engenharia@projetivaengenharia.com.br,(47) 3326-4433,Arquitetura,Serviços de desenho técnico relacionados à arquitetura e engenharia,06/07/1995,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 50000,00",
22.932.147/0001-52,Frontys Sistemas Ltda,Frontys Sistemas,11,1779,,Centro,Rio Claro,SP,13500-240,andre@frontys.com.br,(19) 3545-0000,Informática,Desenvolvimento de programas de computador sob encomenda,27/07/2015,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
10.907.561/0001-22,Docner Desenvolvimento de Software Brasil Ltda,Docner Software,Central,2365,,Tabuba,Caucaia,CE,61618-212,wiebe@docner.com,(85) 98112-2187,Informática,Desenvolvimento de programas de computador sob encomenda,01/06/2009,Demais,Não optante,Sociedade Empresária Limitada,"R$ 173000,00",
00.453.731/0001-92,Consult Projetos e Instalacoes Ltda,,Av Almirante Silvio Figueiredo,455,,Jacarepagua,Rio de Janeiro,RJ,22750-440,consult@consultprojetos.com.br,(21) 2423-4201,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,06/02/1995,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 300000,00",
11.429.779/0001-81,Union Gestao e Tecnologia Eireli,Union Tecnologia,Pedro Natalio Lorenzetti,115,Sala 5,Centro,Lencois Paulista,SP,18680-110,patricia.mazzini@tds-union.com,(14) 3269-3637,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,14/12/2009,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 93700,00",
12.628.215/0001-30,"Tbx Desenvolvimento de Sistemas, Suporte Tecnico e Treinamento Eireli",Tibox Innovations,Soriano de Sousa,189,Sala 44,Tatuape,São Paulo,SP,03066-020,fabio@tibox.com.br,(11) 3064-0300,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,04/10/2010,Empresa de pequeno porte,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
31.873.831/0001-00,Murillo Vinicius Brandao da Costa,Lightbytes,Coqueta,359,Casa 6,Vila Re,São Paulo,SP,03662-010,hello@lightbytes.com.br,(11) 96351-1604,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,26/10/2018,Micro empresa,Optante,Empresário Individual,"R$ 1000,00",
34.764.913/0001-04,Rhara Amorim Arquitetura e Construcao Eireli,Rhara Arquitetura e Construcao,das Americas,12900,Blc 1 Sal 517a,Barra da Tijuca,Rio de Janeiro,RJ,22790-702,felippe@rhara.com.br,(21) 4106-6761,Engenharia,Serviços de desenho técnico relacionados à arquitetura e engenharia,04/09/2019,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
36.921.592/0001-21,Judice Tecnologia em Informacoes Ltda,Judice Tecnologia em Informacoes,da Aurora,325,Apto 1011 Edf Ebano Cxpst 905 Sala 1011,Boa Vista,Recife,PE,50050-000,wagner.sena@judicetecnologia.adv.br,(81) 99499-5684,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,13/04/2020,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 300000,00",
08.462.836/0001-10,Getsystem Servicos em Informatica Ltda,Getsystem,Av Castelo Branco,170,Midilages,Universitario,Lages,SC,88509-900,fabiano@getsystem.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,27/11/2006,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 8000,00",
02.488.340/0001-39,Selens Servicos de Informatica Ltda,Selens Sistemas,R Luigi Galvani,42,Conjunto 26,Brooklin Novo,São Paulo,SP,04575-020,info@selens.com.br,(11) 2129-6060,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,06/04/1998,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,11-50
19.460.654/0001-26,Facilita Tecnologia Ltda,Facilita Tech,Juracy Magalhaes,3340,Sala 310,Felicia,Vitoria da Conquista,BA,45055-235,werther@facilita.tech,(71) 98164-7439,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,02/01/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 500000,00",
00.865.547/0001-50,G.z.sistemas Importacao e Comercio Ltda,G.z.,R Marechal Deodoro da Fonseca,736,Pavmtosuperior,Centro,Jundiaí,SP,13201-002,adm.rede@gzsistemas.com.br,(11) 4521-8199,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,11/10/1995,Demais,Não optante,Sociedade Empresária Limitada,"R$ 750000,00",100 - 250
27.599.275/0001-40,Helper Software Solucoes de Informatica em Saude Ltda.,Helper,Dalcidio Jurandir,00255,Loj 105,Barra da Tijuca,Rio de Janeiro,RJ,22631-250,lrodrigues@helpersystem.com.br,(21) 2422-1009,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,25/04/2017,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1000,00",
11.192.725/0001-45,Gautica Tecnologia e Inovacao Ltda,Gautica Plataforma de Servicos Online,R Alfredo Flores,791,Sala 203,Panazzolo,Caxias do Sul,RS,95082-010,comercial@serraseguros.com.br,(54) 3419-7475,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,01/10/2009,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
65.237.752/0001-16,Ceosoftware Sistemas de Informatica Ltda,,Av Santa Luzia,282,,Santa Luzia,Juíz de Fora,MG,36030-450,ceosoftware@ceosoftware.com.br,(32) 3257-3400,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,25/01/1993,Micro empresa,Optante,Sociedade Empresária Limitada,,33
05.063.449/0001-12,Blink Systems Assessoria e Informatica Ltda,,R Bahia,165,Conj 01 e 02 Terreo,Centro,Marília,SP,17501-080,atendimento@blink.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,24/05/2002,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 30000,00",11-50
13.032.687/0001-99,Innovaro Sistemas Ltda,Innovaro,Av Santos Dumont,2828,Sala 1007,Aldeota,Fortaleza,CE,60150-162,comercial@innovaro.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,21/12/2010,Demais,Optante,Sociedade Empresária Limitada,"R$ 3000,00",
05.248.409/0001-45,Seo Sistemas Ltda,Seo Sistemas,R Conego Dominoni,141,,Centro,Morro da Fumaça,SC,88830-000,seo@seo.com.br,(48) 98419-7684,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,23/08/2002,Micro empresa,Optante,Sociedade Empresária Limitada,,
61.571.881/0001-95,Alphaworld Agencia Digital Ltda,,Calc das Flores,07,Andar: 1; Sala: 02;,Condominio Centro Comercial Alphaville,Baruerí,SP,06453-010,webmaster@alphaworld.com.br,(11) 4195-9960,Informática,Desenvolvimento de programas de computador sob encomenda,20/10/1989,Micro empresa,Optante,Sociedade Empresária Limitada,,
05.727.390/0001-10,Telluria Tecnologia Ltda,,Pc dos Imigrantes,31,,Lagoinha,São Sebastião do Paraíso,MG,37950-000,webmaster@topsyss.com.br,(11) 3564-3314,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,16/06/2003,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 5000,00",
00.349.095/0001-53,Case Comercio e Servicos de Informatica Ltda,,R Upinduara,151,,Novo Eldorado,Contagem,MG,32340-630,suporte@case.inf.br,(31) 3391-2575,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/12/1994,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 9900,00",
23.401.923/0001-50,Groupsoft Tecnologia da Informacao Ltda,Groupsoft Sistemas,Argentina,140,,Vila Santa Maria,Cambira,PR,86890-000,comercial@groupsoft.com.br,(43) 99623-3885,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,02/10/2015,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
13.845.271/0001-90,J Ferreira & J Santos Ltda,Create Engenharia,Camilo Soares,20,: Vila Esperan?a;,Tibiri,Sao Luis,MA,65095-060,joel.santos@progen.com.br,(98) 98917-0347,Engenharia,Serviços de desenho técnico relacionados à arquitetura e engenharia,22/06/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
29.208.459/0001-67,Salvo Tecnologia Ltda,Salvo Tech,Sia Quadra 4-c Lote,56,Bloco K Sala 105 Edif Sia Center I,Zona Industrial (guara),Brasília,DF,71200-045,eduardo@salvoseguros.com.br,(61) 98188-7256,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,05/12/2017,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
04.629.522/0001-08,Piccinini & Cia Ltda,,R Engenheiro Rebouas,2866,,Reboucas,Curitiba,PR,80250-170,fabricio@eweg.com.br,(41) 98418-9042,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,23/08/2001,Micro empresa,Optante,Sociedade Empresária Limitada,,
02.461.964/0001-62,Gifford Arquitetos Eireli,Gifford,R Dom Tito Marchese,100,Anexo Conj. 63,Vila Progredior,São Paulo,SP,05616-060,marcio@giffordarquitetos.com.br,,Arquitetura,Serviços de desenho técnico relacionados à arquitetura e engenharia,23/12/1997,Micro empresa,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Simples),"R$ 95400,00",
01.310.330/0001-46,Polaris Informatica Ltda,,R das Palmeiras,710,Sala: 201;,Santa Lucia,Vitória,ES,29056-210,polaris@polaris-es.com.br,(27) 3227-2375,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,12/07/1996,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 80000,00",9
10.683.003/0001-20,Jamile Tormann Iluminacao Cenica e Arquitetural Eireli,Microeditora Press,Saus Quadra 4,30,Bloco A Sala 441 e 442,Asa Sul,Brasília,DF,70070-040,jamile@jamiletormann.com,(61) 98540-4442,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,05/03/2009,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 190000,00",
33.927.137/0001-45,Touchsky Tecnologia de Sistemas Ltda,Touchsky,Alkindar Monteiro Junqueira,S/n,Km 435 Sala 1,Campo Novo,Braganca Paulista,SP,12918-241,nataly.horner@touchsky.tech,(11) 4411-0658,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,14/06/2019,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 300000,00",
21.833.704/0001-15,"Nerdscode Consultoria, Software e Servicos Ltda",Nerdscode Software e Servicos,Sao Jose,96,Sala 01,Ivete Vargas,Rio Branco,AC,69900-241,ricardo@nerdscode.com,(68) 99993-2571,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/02/2015,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
